category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	143.176	144.104	146.384	147.176	+2.2
other	m_catch	135.235	138.327	136.100	140.264	+0.6
other	m_class_exec	77.208	78.026	73.029	74.708	-5.4
other	m_class_new_block	52.403	52.931	53.010	53.630	+1.2
other	m_hash_default_proc	68.032	68.552	70.997	71.605	+4.4
other	m_hash_hit	137.480	140.935	135.648	136.413	-1.3
other	m_hash_miss	166.750	169.559	168.442	169.701	+1.0
other	m_index_arg	280.425	284.637	288.709	289.451	+3.0
other	m_index_block	251.453	256.759	254.653	256.467	+1.3
other	m_instance_eval	85.787	86.909	86.564	88.939	+0.9
other	m_instance_exec	91.286	91.712	89.208	89.737	-2.3
other	m_method_call	82.140	83.035	82.229	83.167	+0.1
other	m_method_loop	76.528	77.543	75.642	76.713	-1.2
other	m_new_plain	136.056	138.788	140.921	143.428	+3.6
other	m_new_ruby_init	205.159	207.276	219.868	221.305	+7.2
other	m_plain_loop	90.455	94.137	90.517	92.750	+0.1
other	m_public_send	68.589	68.750	70.555	72.435	+2.9
other	m_send	118.761	119.986	118.648	119.787	-0.1
other	m_sort_block	253.710	254.304	253.675	254.081	-0.0
other	m_sort_plain	241.902	244.950	237.878	240.408	-1.7
other	m_yield_loop	160.992	161.648	164.192	164.913	+2.0
