category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	148.378	157.294	145.005	147.843	-2.3
other	m_catch	145.797	149.127	146.047	149.117	+0.2
other	m_class_exec	82.353	83.539	82.891	83.326	+0.7
other	m_class_new_block	55.256	55.677	54.869	55.669	-0.7
other	m_hash_default_proc	72.919	74.423	72.405	73.612	-0.7
other	m_hash_hit	146.204	153.610	146.399	151.383	+0.1
other	m_hash_miss	178.333	185.084	177.838	179.109	-0.3
other	m_index_arg	305.803	313.077	299.736	309.166	-2.0
other	m_index_block	260.269	264.436	263.574	266.515	+1.3
other	m_instance_eval	89.150	91.887	87.806	89.982	-1.5
other	m_instance_exec	94.357	95.864	94.185	97.089	-0.2
other	m_method_call	85.172	85.954	85.463	89.827	+0.3
other	m_method_loop	83.483	85.212	83.136	86.469	-0.4
other	m_new_plain	150.333	151.969	149.327	152.695	-0.7
other	m_new_ruby_init	218.955	247.857	232.102	253.201	+6.0
other	m_plain_loop	95.864	99.986	93.715	99.183	-2.2
other	m_public_send	70.453	75.198	70.539	71.984	+0.1
other	m_send	123.244	125.950	124.504	125.917	+1.0
other	m_sort_block	276.654	277.959	277.097	280.673	+0.2
other	m_sort_plain	255.855	264.826	246.591	250.502	-3.6
other	m_yield_loop	165.526	170.936	162.472	167.432	-1.8
