category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	143.238	144.263	146.427	146.561	+2.2
other	m_catch	135.426	137.876	137.424	139.776	+1.5
other	m_class_exec	76.128	76.306	72.328	72.687	-5.0
other	m_class_new_block	51.476	55.144	51.796	56.288	+0.6
other	m_hash_default_proc	72.527	72.999	74.079	75.425	+2.1
other	m_hash_hit	144.739	146.092	143.976	145.246	-0.5
other	m_hash_miss	176.788	178.445	177.111	180.499	+0.2
other	m_index_arg	295.975	298.362	293.298	302.015	-0.9
other	m_index_block	241.932	264.425	252.436	262.513	+4.3
other	m_instance_eval	87.694	89.458	89.308	90.884	+1.8
other	m_instance_exec	93.175	95.181	91.818	92.200	-1.5
other	m_method_call	84.014	86.654	85.369	87.130	+1.6
other	m_method_loop	76.698	78.815	77.432	79.341	+1.0
other	m_new_plain	138.644	141.952	142.794	143.541	+3.0
other	m_new_ruby_init	201.045	211.651	223.049	224.695	+10.9
other	m_plain_loop	93.049	94.283	93.060	96.410	+0.0
other	m_public_send	69.141	69.710	71.755	72.692	+3.8
other	m_send	120.375	121.582	121.732	125.333	+1.1
other	m_sort_block	252.340	254.561	254.267	256.423	+0.8
other	m_sort_plain	229.647	243.318	219.144	240.534	-4.6
other	m_yield_loop	161.674	161.907	160.935	162.268	-0.5
