category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	142.946	144.107	139.089	139.300	-2.7
other	m_catch	143.891	144.177	149.339	151.395	+3.8
other	m_class_exec	81.840	83.197	76.872	77.696	-6.1
other	m_class_new_block	55.285	56.154	54.382	54.427	-1.6
other	m_hash_default_proc	72.457	73.357	53.534	54.227	-26.1
other	m_hash_hit	143.975	145.770	137.767	139.536	-4.3
other	m_hash_miss	173.204	177.910	136.802	140.660	-21.0
other	m_index_arg	295.622	298.375	296.219	299.375	+0.2
other	m_index_block	257.261	262.381	225.023	227.104	-12.5
other	m_instance_eval	87.345	87.717	81.795	83.365	-6.4
other	m_instance_exec	92.178	93.098	85.712	86.656	-7.0
other	m_method_call	84.077	85.653	78.962	80.259	-6.1
other	m_method_loop	82.820	83.325	83.399	84.777	+0.7
other	m_new_plain	147.648	153.276	135.041	138.427	-8.5
other	m_new_ruby_init	216.356	218.512	199.952	201.135	-7.6
other	m_plain_loop	93.091	94.517	95.654	96.342	+2.8
other	m_public_send	69.948	70.792	66.823	67.139	-4.5
other	m_send	122.732	122.792	125.696	127.942	+2.4
other	m_sort_block	273.439	276.182	295.125	302.420	+7.9
other	m_sort_plain	242.754	242.915	235.294	237.294	-3.1
other	m_yield_loop	161.999	162.781	164.526	165.810	+1.6
