category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	134.615	145.900	336.337	358.975	+149.9
other	m_catch	146.620	147.791	169.284	171.286	+15.5
other	m_class_exec	81.776	82.885	77.872	78.778	-4.8
other	m_class_new_block	55.658	56.873	59.583	63.080	+7.1
other	m_hash_default_proc	72.541	72.929	93.557	95.583	+29.0
other	m_hash_hit	131.927	136.729	127.332	128.190	-3.5
other	m_hash_miss	168.431	175.075	178.757	188.988	+6.1
other	m_index_arg	295.299	296.431	295.681	296.849	+0.1
other	m_index_block	240.319	247.965	631.355	643.358	+162.7
other	m_instance_eval	87.601	89.253	86.443	88.088	-1.3
other	m_instance_exec	94.638	95.555	90.971	92.193	-3.9
other	m_method_call	84.066	85.401	83.368	83.915	-0.8
other	m_method_loop	82.964	83.486	84.770	85.698	+2.2
other	m_new_plain	137.599	141.480	137.036	139.121	-0.4
other	m_new_ruby_init	193.846	195.169	213.193	215.626	+10.0
other	m_plain_loop	93.285	94.102	92.819	95.190	-0.5
other	m_public_send	69.879	70.847	68.779	70.255	-1.6
other	m_send	121.696	123.622	122.600	123.920	+0.7
other	m_sort_block	256.792	273.105	784.813	833.618	+205.6
other	m_sort_plain	240.196	245.451	216.950	218.107	-9.7
other	m_yield_loop	154.435	161.758	161.543	172.615	+4.6
