category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	144.975	149.319	147.271	148.992	+1.6
other	m_catch	149.010	151.678	154.967	156.871	+4.0
other	m_class_exec	83.126	83.879	77.645	80.358	-6.6
other	m_class_new_block	55.954	56.270	54.407	56.079	-2.8
other	m_hash_default_proc	72.089	74.953	59.712	61.989	-17.2
other	m_hash_hit	144.063	146.511	137.724	139.021	-4.4
other	m_hash_miss	176.268	181.878	193.795	196.073	+9.9
other	m_index_arg	294.867	300.698	300.813	314.852	+2.0
other	m_index_block	263.402	267.563	232.182	238.265	-11.9
other	m_instance_eval	92.278	93.998	83.795	89.401	-9.2
other	m_instance_exec	95.143	96.132	86.452	88.802	-9.1
other	m_method_call	86.083	86.756	80.668	81.727	-6.3
other	m_method_loop	84.243	85.737	84.950	87.831	+0.8
other	m_new_plain	148.627	150.461	153.230	154.779	+3.1
other	m_new_ruby_init	214.291	221.469	199.390	200.840	-7.0
other	m_plain_loop	96.092	97.619	94.151	95.275	-2.0
other	m_public_send	70.507	73.829	65.337	68.078	-7.3
other	m_send	123.662	124.613	127.597	129.078	+3.2
other	m_sort_block	274.944	277.503	313.916	319.154	+14.2
other	m_sort_plain	245.512	258.141	232.478	246.736	-5.3
other	m_yield_loop	163.839	169.986	170.442	176.887	+4.0
