category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	145.144	145.666	144.123	146.228	-0.7
other	m_catch	145.892	146.604	146.495	148.118	+0.4
other	m_class_exec	81.131	83.546	81.300	83.603	+0.2
other	m_class_new_block	50.554	56.349	51.612	56.222	+2.1
other	m_hash_default_proc	67.714	68.734	66.305	68.415	-2.1
other	m_hash_hit	132.622	134.241	131.953	134.132	-0.5
other	m_hash_miss	164.016	177.006	174.332	178.688	+6.3
other	m_index_arg	297.194	299.297	295.959	298.614	-0.4
other	m_index_block	243.558	245.177	242.463	244.397	-0.4
other	m_instance_eval	83.359	83.693	82.648	84.208	-0.9
other	m_instance_exec	91.966	92.207	92.460	92.738	+0.5
other	m_method_call	83.619	84.007	83.383	84.143	-0.3
other	m_method_loop	81.445	83.532	80.437	83.036	-1.2
other	m_new_plain	145.270	147.275	144.745	147.484	-0.4
other	m_new_ruby_init	206.196	207.805	201.798	208.518	-2.1
other	m_plain_loop	87.537	89.739	87.506	89.841	-0.0
other	m_public_send	64.300	66.136	65.276	66.412	+1.5
other	m_send	121.867	124.163	123.401	125.064	+1.3
other	m_sort_block	275.124	276.695	275.070	278.911	-0.0
other	m_sort_plain	224.162	232.341	223.588	229.529	-0.3
other	m_yield_loop	148.484	150.923	146.828	150.533	-1.1
